index_distillery,index_page_url,page_type
Glen Moray,https://www.whiskyfun.com/Glen-Moray.html,named_scottish_malt_distillery
Glen Ord,https://www.whiskyfun.com/Glen-Ord.html,named_scottish_malt_distillery
Glenrothes,https://www.whiskyfun.com/Glenrothes.html,named_scottish_malt_distillery
Glen Scotia,https://www.whiskyfun.com/Glen-Scotia.html,named_scottish_malt_distillery
Glen Spey,https://www.whiskyfun.com/Glen-Spey.html,named_scottish_malt_distillery
Glentauchers,https://www.whiskyfun.com/Glentauchers.html,named_scottish_malt_distillery
Glenturret,https://www.whiskyfun.com/Glenturret.html,named_scottish_malt_distillery
Glenugie,https://www.whiskyfun.com/Glenugie.html,named_scottish_malt_distillery
Glenury Royal,https://www.whiskyfun.com/Glenury-Royal.html,named_scottish_malt_distillery
Hazelburn,https://www.whiskyfun.com/Hazelburn.html,named_scottish_malt_distillery
Highland Park,https://www.whiskyfun.com/Highland-Park.html,named_scottish_malt_distillery
Holyrood,https://www.whiskyfun.com/various-new-distilleries.html#holyrood,named_scottish_malt_section
Imperial,https://www.whiskyfun.com/Imperial.html,named_scottish_malt_distillery
Inchgower,https://www.whiskyfun.com/Inchgower.html,named_scottish_malt_distillery
Inverleven,https://www.whiskyfun.com/Inverleven.html,named_scottish_malt_distillery
Isle of Jura,https://www.whiskyfun.com/Isle-of-Jura.html,named_scottish_malt_distillery
Kilchoman,https://www.whiskyfun.com/Kilchoman.html,named_scottish_malt_distillery
Kinclaith,https://www.whiskyfun.com/Kinclaith.html,named_scottish_malt_distillery
Kingsbarns,https://www.whiskyfun.com/various-new-distilleries.html#kingsbarns,named_scottish_malt_section
Kininvie,https://www.whiskyfun.com/Kininvie.html,named_scottish_malt_distillery
Knockando,https://www.whiskyfun.com/Knockando.html,named_scottish_malt_distillery
Ladyburn (1,https://www.whiskyfun.com/Ladyburn.html,named_scottish_malt_distillery
,https://www.whiskyfun.com/Lagavulin.html,named_scottish_malt_distillery
Laphroaig,https://www.whiskyfun.com/Laphroaig.html,named_scottish_malt_distillery
Ledaig,https://www.whiskyfun.com/Ledaig.html,named_scottish_malt_distillery
Linkwood,https://www.whiskyfun.com/Linkwood.html,named_scottish_malt_distillery
Littlemill,https://www.whiskyfun.com/Littlemill.html,named_scottish_malt_distillery
Loch Lomond,https://www.whiskyfun.com/Loch-Lomond.html,named_scottish_malt_distillery
Lochside,https://www.whiskyfun.com/Lochside.html,named_scottish_malt_distillery
Longmorn,https://www.whiskyfun.com/Longmorn.html,named_scottish_malt_distillery
Longrow,https://www.whiskyfun.com/Longrow.html,named_scottish_malt_distillery
Macallan,https://www.whiskyfun.com/Macallan.html,named_scottish_malt_distillery
Macduff,https://www.whiskyfun.com/Macduff.html,named_scottish_malt_distillery
Mannochmore,https://www.whiskyfun.com/Mannochmore.html,named_scottish_malt_distillery
Millburn,https://www.whiskyfun.com/Millburn.html,named_scottish_malt_distillery
Miltonduff,https://www.whiskyfun.com/Miltonduff.html,named_scottish_malt_distillery
Mortlach,https://www.whiskyfun.com/Mortlach.html,named_scottish_malt_distillery
Mosstowie,https://www.whiskyfun.com/Mosstowie.html,named_scottish_malt_distillery
NcNean,https://www.whiskyfun.com/various-new-distilleries.html#ncnean,named_scottish_malt_section
North Port Brechin,https://www.whiskyfun.com/North-Port.html,named_scottish_malt_distillery
Oban,https://www.whiskyfun.com/Oban.html,named_scottish_malt_distillery
Octomore,https://www.whiskyfun.com/Port-Charlotte.html,named_scottish_malt_distillery
Old Fettercairn,https://www.whiskyfun.com/Old-Fettercairn.html,named_scottish_malt_distillery
Old Pulteney,https://www.whiskyfun.com/Old-Pulteney.html,named_scottish_malt_distillery
Pittyvaich,https://www.whiskyfun.com/Pittyvaich.html,named_scottish_malt_distillery
Port Ellen,https://www.whiskyfun.com/Port-Ellen.html,named_scottish_malt_distillery
Raasay,https://www.whiskyfun.com/various-new-distilleries.html#raasay,named_scottish_malt_section
Rosebank,https://www.whiskyfun.com/Rosebank.html,named_scottish_malt_distillery
Royal Brackla,https://www.whiskyfun.com/Royal-Brackla.html,named_scottish_malt_distillery
