scope,n,adj_r2_descriptive,adj_r2_ci_low,adj_r2_ci_high,r2_descriptive
Full Text,11083,0.2891963540388863,0.27348654650600274,0.3093669241490949,0.29079986343692166
Nose,11083,0.20655971381813598,0.19059928410800425,0.23091869473694318,0.20834964407932954
Mouth,11083,0.2338426300351103,0.21492023553445427,0.2579602071758012,0.2355710124795357
Finish,11083,0.12994691786870194,0.1141016165621019,0.15234259672043401,0.1319096797395991
Comments,11083,0.02190972675502456,0.017978398812455314,0.030229654959502597,0.024116210858176057
Nose + Mouth + Finish,11083,0.3354322801214229,0.3166180043414792,0.3567329361659606,0.3369314854090032
