group,validation_type,n_group,n_other,category,group_mean_per1k,other_mean_per1k,cohen_d,welch_p
Islay assigned distillery,independent metadata validation,2373,8776,fruit,15.13785646080214,19.19002140525967,-0.27780679455408364,2.2819491554409614e-40
Islay assigned distillery,independent metadata validation,2373,8776,floral,1.2631354893080777,1.8925984465666732,-0.14679244406619868,2.4809050928273965e-11
Islay assigned distillery,independent metadata validation,2373,8776,spice,3.0312126004392637,3.523128910973414,-0.0904335534115054,3.749486494220611e-05
Islay assigned distillery,independent metadata validation,2373,8776,peat,27.88532730060641,7.1702025038761885,1.4053865951918616,3.27e-321
Islay assigned distillery,independent metadata validation,2373,8776,sherry,10.006504651972824,12.53987804732962,-0.16457768860559152,6.359626532756587e-14
Islay assigned distillery,independent metadata validation,2373,8776,oak,5.1686593124081615,6.79893468040657,-0.17736302234496382,3.488410647788502e-17
Islay assigned distillery,independent metadata validation,2373,8776,texture,2.3866244116266677,2.9942385603692947,-0.12023980625652962,5.783542080315342e-09
Islay assigned distillery,independent metadata validation,2373,8776,mineral,6.895535367688564,8.482357557424201,-0.15868332874198177,2.5622817898643853e-14
Islay assigned distillery,independent metadata validation,2373,8776,flaw,1.8284597896328545,1.7304783733228157,0.022009618558498433,0.3401913058967807
Islay assigned distillery,independent metadata validation,2373,8776,structure,3.5399490143975765,2.9103738848220235,0.1274003873957722,1.5770068424774103e-07
Islay assigned distillery,independent metadata validation,2373,8776,eval,10.177386536485946,10.384800127717225,-0.022596677953571887,0.33195413418814257
Sherry title cue,independent metadata validation,2438,8711,fruit,14.334680568920898,19.445047641718883,-0.3517722004091098,1.1348552598176635e-62
Sherry title cue,independent metadata validation,2438,8711,floral,1.297424048915744,1.8876988465090818,-0.1376280098250823,6.202442135196184e-12
Sherry title cue,independent metadata validation,2438,8711,spice,4.088052348836528,3.231015405473723,0.15778379314638058,7.114176501936499e-11
Sherry title cue,independent metadata validation,2438,8711,peat,8.976265589179839,12.30782267844518,-0.1965621772576365,4.834954989040182e-23
Sherry title cue,independent metadata validation,2438,8711,sherry,25.360323635508184,8.261615917704889,1.246839293053131,2.71166773496016e-309
Sherry title cue,independent metadata validation,2438,8711,oak,5.776210969634604,6.641060378788136,-0.09391348877905896,1.1831173454965869e-05
Sherry title cue,independent metadata validation,2438,8711,texture,2.2812082161172684,3.028275938893022,-0.14793313947511466,8.002781564706445e-13
Sherry title cue,independent metadata validation,2438,8711,mineral,6.624563637219369,8.57003664377671,-0.19476774186581688,1.2237624439053952e-21
Sherry title cue,independent metadata validation,2438,8711,flaw,1.8387539869471585,1.7268661537025165,0.025133760955636013,0.2934687720421313
Sherry title cue,independent metadata validation,2438,8711,structure,3.356491930344858,2.957021340624815,0.0807718726581229,0.0005179147652330226
Sherry title cue,independent metadata validation,2438,8711,eval,9.98826164542627,10.439279334218604,-0.04914416752673162,0.028002442435030767
Bourbon title cue,independent metadata validation,3436,7713,fruit,23.065162389811128,16.21701844452889,0.47770109407596745,7.056773811432775e-100
Bourbon title cue,independent metadata validation,3436,7713,floral,2.13865651506106,1.589322014449292,0.12809915190757584,8.159965415078462e-09
Bourbon title cue,independent metadata validation,3436,7713,spice,3.3650896968738375,3.4421883346410667,-0.014164360930372237,0.49004790496930306
Bourbon title cue,independent metadata validation,3436,7713,peat,12.51978323941267,11.160327194053481,0.0799990839352398,0.00021426813909501246
Bourbon title cue,independent metadata validation,3436,7713,sherry,5.524089316242647,14.885859508866394,-0.6321253385596814,1.6281310448089696e-307
Bourbon title cue,independent metadata validation,3436,7713,oak,6.644559293150044,6.3661316702099136,0.03021447397350371,0.14682376133739394
Bourbon title cue,independent metadata validation,3436,7713,texture,3.199995184826091,2.715637738821284,0.09582652203120962,8.694956989505495e-06
Bourbon title cue,independent metadata validation,3436,7713,mineral,10.310061522506667,7.179943466893147,0.3156566750003078,1.1025485184058465e-43
