scope,n,adj_r2_descriptive,adj_r2_ci_low,adj_r2_ci_high,r2_descriptive
Full Text,11149,0.28909032403479396,0.2728100869597609,0.3097385044070848,0.2906845778829399
Nose,11133,0.20747557845183917,0.19043991376758146,0.23027845589950977,0.2092554123126642
Mouth,11130,0.23387533756258905,0.21428015219141036,0.2597420688981067,0.23559634722751266
Finish,11120,0.12999377719814476,0.11407050156464325,0.1504951937006188,0.13194990235059068
Comments,11100,0.021955292837488205,0.01812268675567716,0.030013732288175263,0.024158294700634686
Nose + Mouth + Finish,11133,0.33586214446989915,0.3171065441043344,0.3574775214006274,0.33735365061329226
