model,evaluation,n,r2_oof,r2_oof_ci_low,r2_oof_ci_high,r2_fold_mean,r2_fold_sd,mae_oof,rmse_oof
M0: Baseline (length + year FE),out-of-fold 5-fold CV; random_state=42,11149,0.10221280801978816,0.08957694748916066,0.11632879379657066,0.10444633562019315,0.0231628955239448,3.450089284960392,5.075148389864063
M1: VADER sentiment,out-of-fold 5-fold CV; random_state=42,11149,0.1598784429640383,0.14317873412903043,0.17554572371209765,0.16131568597240614,0.022231290148817133,3.3492612037268352,4.9094529976413135
M2: Full dictionary (11 categories),out-of-fold 5-fold CV; random_state=42,11149,0.28664890921625696,0.2679206339286188,0.3056877920654034,0.28700962469864305,0.018258121360815477,3.1079756421715232,4.523907402984327
M3: Dictionary minus explicit evaluation (10 categories),out-of-fold 5-fold CV; random_state=42,11149,0.2620669865041998,0.24277993921582713,0.2805386827246544,0.26169203985582346,0.018363249729121362,3.1905805258266313,4.6011936556511746
"M4: TF-IDF / Ridge (5,000 features)",out-of-fold 5-fold CV; random_state=42,11149,0.5902217144947624,0.5566727533360765,0.6233102096934713,0.5943210234217808,0.03721491777999179,2.1480764346387464,3.428755464327437
