sample,variable,b_unstandardized,robust_se_hc1,ci_low,ci_high,t_hc1,p_hc1,n,adj_r2_descriptive
All reviews,fruit_review_text_per1k,0.0393031417278732,0.003123693481521814,0.03318081500534791,0.045425468450398486,12.582265821013056,2.6433769308256717e-36,11149,0.28909032403479396
All reviews,floral_review_text_per1k,0.03290170225938786,0.009495256078259589,0.014291342322014032,0.051512062196761695,3.465067396625548,0.0005300986148750081,11149,0.28909032403479396
All reviews,spice_review_text_per1k,-0.017846665999738456,0.007010433685771643,-0.03158686353985726,-0.004106468459619648,-2.5457292372596005,0.01090497366845407,11149,0.28909032403479396
All reviews,peat_review_text_per1k,0.06386956321180853,0.0023502466961862344,0.059263164332499264,0.06847596209111781,27.17568471235391,1.2591057926251566e-162,11149,0.28909032403479396
All reviews,sherry_review_text_per1k,0.04415667089810616,0.002714079095975236,0.03883717361880167,0.04947616817741065,16.269485647484263,1.62517146554e-59,11149,0.28909032403479396
All reviews,oak_review_text_per1k,-0.04369841154331876,0.0048247736982076845,-0.05315479422536194,-0.03424202886127557,-9.05709039981542,1.3397655591286994e-19,11149,0.28909032403479396
All reviews,texture_review_text_per1k,0.06233299050605749,0.007311721946034397,0.04800227882685896,0.07666370218525603,8.525076714639644,1.5270857545909874e-17,11149,0.28909032403479396
All reviews,mineral_review_text_per1k,0.010978423202932477,0.004060718605197943,0.0030195609853927875,0.01893728542047217,2.703566602443098,0.006859969868240092,11149,0.28909032403479396
All reviews,flaw_review_text_per1k,-0.33153857015438165,0.024090799724682147,-0.3787556699735261,-0.2843214703352372,-13.762040859718946,4.31180726545002e-43,11149,0.28909032403479396
All reviews,structure_review_text_per1k,0.036520563215175494,0.008552935745665374,0.01975711719158613,0.05328400923876486,4.26994476530285,1.9552138239015987e-05,11149,0.28909032403479396
All reviews,eval_review_text_per1k,0.09417138715555372,0.00456674315508573,0.08522073504494088,0.10312203926616656,20.62112625070237,1.773809285738263e-94,11149,0.28909032403479396
All reviews,wordcount_review_text,0.03494081741792478,0.0009052555242874666,0.033166549193515416,0.03671508564233414,38.597740063974705,0.0,11149,0.28909032403479396
Tier 1 index-matched only,fruit_review_text_per1k,0.04668504600851141,0.007012962060746208,0.032939892944503044,0.06043019907251977,6.656965431172449,2.7953890126510678e-11,2657,0.28937641201997444
Tier 1 index-matched only,floral_review_text_per1k,0.06625596261206576,0.02634488936496787,0.014620928280036437,0.11789099694409508,2.5149455628449005,0.011905076440616955,2657,0.28937641201997444
Tier 1 index-matched only,spice_review_text_per1k,-0.002400625874255491,0.015048324908050432,-0.03189480072169136,0.027093548973180375,-0.15952778059511616,0.873253072822934,2657,0.28937641201997444
Tier 1 index-matched only,peat_review_text_per1k,0.06927321750009971,0.00648593975138226,0.05656100918149381,0.0819854258187056,10.680521274551841,1.255645890697895e-26,2657,0.28937641201997444
Tier 1 index-matched only,sherry_review_text_per1k,0.051348693152959896,0.0059483699035531,0.039690102375273824,0.06300728393064596,8.632397444262525,6.007920396485542e-18,2657,0.28937641201997444
Tier 1 index-matched only,oak_review_text_per1k,-0.06305745847119056,0.00969208948676196,-0.0820536048001833,-0.044061312142197814,-6.506074727984944,7.713986378301852e-11,2657,0.28937641201997444
Tier 1 index-matched only,texture_review_text_per1k,0.06460244175567753,0.019870822846478533,0.025656344633403924,0.10354853887795114,3.2511206131117136,0.0011495108010541998,2657,0.28937641201997444
Tier 1 index-matched only,mineral_review_text_per1k,0.014901837448092065,0.010481373407277986,-0.005641276938688659,0.035444951834872784,1.421744734115152,0.1551003686018869,2657,0.28937641201997444
Tier 1 index-matched only,flaw_review_text_per1k,-0.31261423288225754,0.04892421610363278,-0.4085039344172323,-0.21672453134728276,-6.389764778654162,1.6614112216106773e-10,2657,0.28937641201997444
Tier 1 index-matched only,structure_review_text_per1k,0.018791033276069846,0.019117946588130878,-0.01867945349502708,0.05626152004716677,0.9829001869759385,0.3256565658085585,2657,0.28937641201997444
Tier 1 index-matched only,eval_review_text_per1k,0.09386490445382759,0.009807230496987507,0.07464308589164922,0.11308672301600595,9.570989942844733,1.0588687985952738e-21,2657,0.28937641201997444
Tier 1 index-matched only,wordcount_review_text,0.0433442047774941,0.0019971306652166085,0.03942990060124903,0.047258508953739176,21.70323931849146,1.9120701081509073e-104,2657,0.28937641201997444
